X,Y,OBJECTID,CODIGO_ACCIDENTADO,FORMULARIO,FECHA_OCURRENCIA_ACC,HORA_OCURRENCIA_ACC,ANO_OCURRENCIA_ACC,MES_OCURRENCIA_ACC,DIA_OCURRENCIA_ACC,FECHA_HORA_ACC,DIRECCION,CLASE_ACC,LOCALIDAD,CODIGO_VEHICULO,CONDICION,MUERTE_POSTERIOR,FECHA_POSTERIOR_MUERTE,GENERO,EDAD,CONDICION_A
-74.15503463,4.60203360700001,1809636,12794488,A001390776,2022/01/23 05:00:00+00,03:30:00,2022,ENERO,DOMINGO,2022/01/23 08:30:00+00,CL 51 B SUR 64 02,ATROPELLO,BOSA,,PEATON,N,,MASCULINO,28,PEATON
-74.096018211,4.54903551299998,1809784,12794658,A001388915,2022/01/04 05:00:00+00,11:53:00,2022,ENERO,MARTES,2022/01/04 16:53:00+00,CL 42 A SUR 2 A ESTE 02,CHOQUE,SAN CRISTOBAL,1,MOTOCICLISTA,N,,MASCULINO,22,MOTOCICLISTA
-74.081040715,4.62719510800002,1809796,12794657,A001388677,2022/01/20 05:00:00+00,04:55:00,2022,ENERO,JUEVES,2022/01/20 09:55:00+00,KR 30 26 02,CHOQUE,TEUSAQUILLO,2,MOTOCICLISTA,N,,MASCULINO,45,MOTOCICLISTA
-74.144694915,4.58724155499999,1809802,12794672,A001389713,2022/01/22 05:00:00+00,00:25:00,2022,ENERO,SABADO,2022/01/22 05:25:00+00,AVENIDA BOYACA 52 B SUR 02,ATROPELLO,TUNJUELITO,,PEATON,N,,MASCULINO,68,PEATON
-74.077,4.71499999999997,1810048,12809251,A001447975,2022/04/07 05:00:00+00,05:27:00,2022,ABRIL,JUEVES,2022/04/07 10:27:00+00,AVENIDA BOYACA 128 02,CHOQUE,SUBA,1,MOTOCICLISTA,N,,MASCULINO,25,MOTOCICLISTA
-74.153,4.57299999999998,1810049,12809253,A001447440,2022/04/07 05:00:00+00,04:17:00,2022,ABRIL,JUEVES,2022/04/07 09:17:00+00,AVENIDA CIUDAD DE VILLAVICENCIO 43 C SUR 02,CHOQUE,CIUDAD BOLIVAR,1,MOTOCICLISTA,N,,MASCULINO,35,MOTOCICLISTA
-74.187,4.62200000000001,1810051,12809258,A001447342,2022/04/07 05:00:00+00,22:30:00,2022,ABRIL,JUEVES,2022/04/08 03:30:00+00,CL 59 C 87 F SUR 02,CHOQUE,BOSA,2,CICLISTA,N,,MASCULINO,31,CICLISTA
-74.120039847,4.59430995299999,1810110,12794984,A001391248,2022/01/26 05:00:00+00,14:09:00,2022,ENERO,MIERCOLES,2022/01/26 19:09:00+00,AU DEL SUR 34 F 02,CHOQUE,ANTONIO NARINO,2,MOTOCICLISTA,N,,MASCULINO,39,MOTOCICLISTA
-74.079036944,4.639079165,1810323,12795194,A001391326,2022/01/27 05:00:00+00,08:00:00,2022,ENERO,JUEVES,2022/01/27 13:00:00+00,KR 30 49 A 02,CHOQUE,TEUSAQUILLO,2,PASAJERO,N,,FEMENINO,37,MOTOCICLISTA
-74.104907731,4.58163931199999,1810364,12795237,A001390737,2022/01/26 05:00:00+00,15:10:00,2022,ENERO,MIERCOLES,2022/01/26 20:10:00+00,KR 19 24 SUR 02,ATROPELLO,RAFAEL URIBE URIBE,,PEATON,N,,MASCULINO,80,PEATON
